Event Title,Event Type,Date Time,Country,City,Infrastructure Affected,Severity,Latitude,Longitude,Url,Description
MICHIGAN - Michigan Paper Mill With Fungal Infections Outbreak Reopens,General News,2023-05-12 22:23:12,US (United States),"Escanaba, MI, USA",Unknown,Severe,45.7452470,-87.0645800,https://www.insurancejournal.com/news/midwest/2023/05/12/720602.htm,"[AP] MICHIGAN - Michigan Paper Mill With Fungal Infections Outbreak Reopens
""The Billerud Paper Mill in Escanaba reopened Monday, following a deep cleaning recommended by public health authorities and experts, the company said.""
Read the full article:
https://www.insurancejournal.com/news/midwest/2023/05/12/720602.htm"
CANADA - Health Officials Confirm Case Of Hepatitis A At Milton Golf Club,General News,2023-05-12 18:51:49,CA (Canada),"RattleSnake Point Golf Club, Regional Road 25, Milton, ON, Canada",Unknown,Unknown,43.4834330,-79.8135600,https://www.chch.com/health-officials-confirm-case-of-hepatitis-a-at-milton-golf-club/,"[chch.com] CANADA - Health officials confirm case of hepatitis A at Milton golf club
""Halton Region Public Health has confirmed a case of hepatitis A at a Milton golf club after a food handler at its restaurant tested positive.""
Read the full article:
https://www.chch.com/health-officials-confirm-case-of-hepatitis-a-at-milton-golf-club/
 "
WITZERLAND - WHO Declares End To Monkeypox Public Health Emergency,General News,2023-05-11 15:17:00,CH (Switzerland),"Geneva, Switzerland",Unknown,Severe,46.2043910,6.1431580,https://www.deccanherald.com/international/world-news-politics/who-declares-end-to-monkeypox-public-health-emergency-1217862.html,"[Reuters] SWITZERLAND - WHO declares end to monkeypox public health emergency
""The World Health Organization (WHO) said on Thursday that monkeypox (mpox) was no longer a global health emergency, ending a near year-long alert for the viral disease that led to confirmed cases in more than hundred countries.
Read the full article:
https://www.deccanherald.com/international/world-news-politics/who-declares-end-to-monkeypox-public-health-emergency-1217862.html
 "
CALIFORNIA - Confirmed Hospitalizations And Illnesses Increase In Hepatitis A Outbreak Linked To Frozen Strawberries,General News,2023-05-09 09:22:50,US (United States),"Sacramento, CA, USA",Unknown,Unknown,38.5815720,-121.4944000,https://www.foodpoisoningnews.com/confirmed-hospitalizations-and-illnesses-increase-in-hepatitis-a-outbreak-linked-to-frozen-strawberries/,"[foodpoisoningnews.com] CALIFORNIA - Confirmed Hospitalizations and Illnesses Increase in Hepatitis A Outbreak Linked to Frozen Strawberries
""On the 5th of May, 2023, the U.S. Food & Drug Administration (FDA) announced there had been an increase in the number of Hepatitis A illnesses linked to frozen strawberries.""
Read the full article:
https://www.foodpoisoningnews.com/confirmed-hospitalizations-and-illnesses-increase-in-hepatitis-a-outbreak-linked-to-frozen-strawberries/
 "
MICHIGAN - Rare Fungal Outbreak In Michigan Grows To 115 Cases,General News,2023-05-09 09:21:44,US (United States),"Lansing, MI, USA",Unknown,Severe,42.7325350,-84.5555350,https://www.beckershospitalreview.com/public-health/rare-fungal-outbreak-in-michigan-grows-to-115-cases.html,"[beckershospitalreview.com] MICHIGAN - Rare fungal outbreak in Michigan grows to 115 cases
""A rare fungal outbreak at a Michigan paper mill has infected more than 100 people, and health officials are still searching for the source of the fungus. ""
Read the full article:
https://www.beckershospitalreview.com/public-health/rare-fungal-outbreak-in-michigan-grows-to-115-cases.html
 "
NEW ZEALAND - Measles Outbreak - Auckland Cases Should Be A Warning - Expert Says,General News,2023-05-08 20:26:41,NZ (New Zealand),"Auckland, New Zealand",Unknown,Severe,-36.8508830,174.7644880,https://www.nzherald.co.nz/nz/measles-outbreak-auckland-cases-should-be-a-warning-expert-says/VWCOEQ6YCZHFTIPT66ZYB3OMSI/,"[Local Democracy Reporter] NEW ZEALAND - Measles outbreak: Auckland cases should be a warning, expert says
""The University of Auckland’s Immunisation Advisory Centre medical director, Dr Nikki Turner, said child immunisation rates in areas like south Auckland remain in a state of crisis and an outbreak could have dire consequences.""
Read the full article:
https://www.nzherald.co.nz/nz/measles-outbreak-auckland-cases-should-be-a-warning-expert-says/VWCOEQ6YCZHFTIPT66ZYB3OMSI/"
NEW ZEALAND - Measles Outbreak - Auckland Cases Should Be A Warning - Expert Says,General News,2023-05-08 11:55:39,NZ (New Zealand),"Auckland, New Zealand",Unknown,Severe,-36.8508830,174.7644880,https://www.nzherald.co.nz/nz/measles-outbreak-auckland-cases-should-be-a-warning-expert-says/VWCOEQ6YCZHFTIPT66ZYB3OMSI/,"[Local Democracy Reporter] NEW ZEALAND - Measles outbreak: Auckland cases should be a warning, expert says
""The University of Auckland’s Immunisation Advisory Centre medical director, Dr Nikki Turner, said child immunisation rates in areas like south Auckland remain in a state of crisis and an outbreak could have dire consequences.""
Read the full article:
https://www.nzherald.co.nz/nz/measles-outbreak-auckland-cases-should-be-a-warning-expert-says/VWCOEQ6YCZHFTIPT66ZYB3OMSI/
 "
VIETNAM - Hot Weather Causes Several Disease Outbreaks In Vietnamese Shrimp,General News,2023-05-08 11:46:46,VN (Vietnam),Hanoi,Unknown,Severe,21.0245000,105.8411700,https://www.undercurrentnews.com/2023/05/08/hot-weather-causes-several-disease-outbreaks-in-vietnamese-shrimp/,"[undercurrentnews.com] VIETNAM - Hot weather causes several disease outbreaks in Vietnamese shrimp
""A heat wave in mid-April raised water temperatures significantly in Vietnam's farming areas, causing multiple disease outbreaks in shrimp farms""
Read the full article:
https://www.undercurrentnews.com/2023/05/08/hot-weather-causes-several-disease-outbreaks-in-vietnamese-shrimp/
 "
INDIA - African Swine Fever Outbreak In Govt Pig Farm In Eastern West Khasi Hills - Restrictions Imposed,African Swine Fever / Swine Fever,2023-05-16 11:31:32,IN (India),"West Khasi Hills, Meghalaya, India",Unknown,Severe,25.5624620,91.2891040,https://hubnetwork.in/african-swine-fever-outbreak-in-govt-pig-farm-in-eastern-west-khasi-hills-restrictions-imposed/,"[Hub Network] INDIA - African Swine Fever outbreak in Govt Pig farm in Eastern West Khasi Hills, restrictions imposed
""After the outbreak of African Swine Fever (ASF), the Meghalaya government has imposed 28-point restrictions and prohibited various activities in Eastern West Khasi Hills district under section 144 CrPC.""
Read the full article:
https://hubnetwork.in/african-swine-fever-outbreak-in-govt-pig-farm-in-eastern-west-khasi-hills-restrictions-imposed/
 "
INDONESIA - Indonesia Confirms African Swine Fever Outbreak,African Swine Fever / Swine Fever,2023-05-09 09:19:56,ID (Indonesia),Bulan island,Unknown,Unknown,0.9811510,103.9027990,https://www.porkbusiness.com/news/industry/indonesia-confirms-african-swine-fever-outbreak,"[porkbusiness.com] INDONESIA - Indonesia Confirms African Swine Fever Outbreak
""Indonesia reported an outbreak of the deadly virus of pigs, African swine fever, on a farm on the Riau Islands near Singapore, according to the World Organisation for Animal Health (WOAH).""
Read the full article:
https://www.porkbusiness.com/news/industry/indonesia-confirms-african-swine-fever-outbreak
 "
