DATE/TIME,DETAIL,COUNTRY,CITY,DESCRIPTION
2023-05-12 22:23:12,https://outbreaks.globalincidentmap.com/event_detail?id=12298499,United States,"Escanaba, MI, USA",MICHIGAN - Michigan Paper Mill With Fungal Infections Outbreak Reopens
2023-05-12 18:51:49,https://outbreaks.globalincidentmap.com/event_detail?id=12298410,Canada,"RattleSnake Point Golf Club, Regional Road 25, Milton, ON, Canada",CANADA - Health Officials Confirm Case Of Hepatitis A At Milton Golf Club
2023-05-11 15:17:00,https://outbreaks.globalincidentmap.com/event_detail?id=12297728,Switzerland,"Geneva, Switzerland",WITZERLAND - WHO Declares End To Monkeypox Public Health Emergency
2023-05-09 09:22:50,https://outbreaks.globalincidentmap.com/event_detail?id=12296812,United States,"Sacramento, CA, USA",CALIFORNIA - Confirmed Hospitalizations And Illnesses Increase In Hepatitis A Outbreak Linked To Frozen Strawberries
2023-05-09 09:21:44,https://outbreaks.globalincidentmap.com/event_detail?id=12296806,United States,"Lansing, MI, USA",MICHIGAN - Rare Fungal Outbreak In Michigan Grows To 115 Cases
2023-05-08 20:26:41,https://outbreaks.globalincidentmap.com/event_detail?id=12295697,New Zealand,"Auckland, New Zealand",NEW ZEALAND - Measles Outbreak - Auckland Cases Should Be A Warning - Expert Says
2023-05-08 11:55:39,https://outbreaks.globalincidentmap.com/event_detail?id=12295362,New Zealand,"Auckland, New Zealand",NEW ZEALAND - Measles Outbreak - Auckland Cases Should Be A Warning - Expert Says
2023-05-08 11:46:46,https://outbreaks.globalincidentmap.com/event_detail?id=12295350,Vietnam,Hanoi,VIETNAM - Hot Weather Causes Several Disease Outbreaks In Vietnamese Shrimp
2023-05-16 11:31:32,https://outbreaks.globalincidentmap.com/event_detail?id=12300749,India,"West Khasi Hills, Meghalaya, India",INDIA - African Swine Fever Outbreak In Govt Pig Farm In Eastern West Khasi Hills - Restrictions Imposed
2023-05-09 09:19:56,https://outbreaks.globalincidentmap.com/event_detail?id=12296805,Indonesia,Bulan island,INDONESIA - Indonesia Confirms African Swine Fever Outbreak
2023-05-17 11:42:16,https://outbreaks.globalincidentmap.com/event_detail?id=12300782,United Kingdom,"London, UK",UNITED KINGDOM - 2 Poultry Workers In UK Test Positive For Bird Flu
2023-05-16 10:24:57,https://outbreaks.globalincidentmap.com/event_detail?id=12300022,Brazil,"Espírito Santo, Brazil",BRAZIL - Brazil Confirms First Ever Avian Flu Cases In Wild Birds
2023-05-15 16:09:18,https://outbreaks.globalincidentmap.com/event_detail?id=12299527,Canada,"Fraser Valley, BC, Canada",CANADA - Few Avian Flu Cases Found In Western Canada
2023-05-15 16:05:07,https://outbreaks.globalincidentmap.com/event_detail?id=12299523,Luxembourg,Remerschen,LUXEMBOURG - 3 New Cases Of Avian Flu Detected In Remerschen
2023-05-15 15:36:02,https://outbreaks.globalincidentmap.com/event_detail?id=12299515,China,"Guangdong, China",CHINA - First H3N8 Bird Flu Death Recorded In China
2023-05-15 15:10:16,https://outbreaks.globalincidentmap.com/event_detail?id=12299508,United States,"Brookings, SD, USA",SOUTH DAKOTA - Avian Influenza Outbreak Continues Across The Country
2023-05-14 15:08:14,https://outbreaks.globalincidentmap.com/event_detail?id=12299506,Canada,"Rimouski, QC, Canada",CANADA - Quebec Avian Flu Cases Higher Than Expected As Bird Deaths Near 1 Million
2023-05-13 05:48:19,https://outbreaks.globalincidentmap.com/event_detail?id=12298836,Estonia,"Rapla County, Estonia",ESTONIA - New Case Of Avian Flu Detected In Deceased Black-Headed Gull
2023-05-12 18:56:44,https://outbreaks.globalincidentmap.com/event_detail?id=12298413,United Kingdom,"Priory County Park, Bedford",UNITED KINGDOM - Bird Flu Confirmed At Priory Country Park
2023-05-12 18:46:39,https://outbreaks.globalincidentmap.com/event_detail?id=12298403,France,Paris,FRANCE - France Tightens Bird Flu Measures In Southwest After New Outbreaks
2023-05-11 18:41:34,https://outbreaks.globalincidentmap.com/event_detail?id=12298402,Canada,"Fraser Valley, BC, Canada",CANADA - Few Avian Flu Cases Found In Western Canada
2023-05-11 14:57:56,https://outbreaks.globalincidentmap.com/event_detail?id=12297722,United States,"Madison County, NE, USA",NEBRASKA - Bird Flu Kills Three Nebraskan Cats
2023-05-11 14:51:15,https://outbreaks.globalincidentmap.com/event_detail?id=12297721,United Kingdom,"Bettws Hall Game Farm, Bettws Cedewain, Newtown, Powys, UK",UNITED KINGDOM - Bird Flu Discovered At Bettws Hall Game Farm In Wales
2023-05-09 09:15:38,https://outbreaks.globalincidentmap.com/event_detail?id=12296792,South Africa,"Western Cape, South Africa",SOUTH AFRICA - Quantum Had To Kill 420 000 Chickens Due To Bird Flu - Warns Of Egg Crunch In Wcape
2023-05-04 19:42:18,https://outbreaks.globalincidentmap.com/event_detail?id=12294396,Czech Republic,"Rychvald, Czechia",CZECH REPUBLIC - Bird Flu Outbreak - Czech Republic Culls 15000 Turkeys At Farm
2023-05-17 11:32:13,https://outbreaks.globalincidentmap.com/event_detail?id=12300759,Philippines,"Negros Occidental, Philippines",PHILIPPINES - Hog Cholera Kills More Than 2000 Pigs In Negros
2023-05-08 11:59:11,https://outbreaks.globalincidentmap.com/event_detail?id=12295366,Pakistan,"Karachi, Pakistan",PAKISTAN - 2 Congo Virus-Related Deaths Cause Alarm In Pakistan
2023-05-17 12:00:19,https://outbreaks.globalincidentmap.com/event_detail?id=12300804,Bangladesh,"Dhaka, Bangladesh",BANGLADESH - 38 More Dengue Patients Hospitalized
2023-05-16 10:26:53,https://outbreaks.globalincidentmap.com/event_detail?id=12300023,Bangladesh,"Dhaka, Bangladesh",BANGLADESH - Bangladesh Sees Steady Rise In Dengue Cases - 100 Patients Undergoing Treatment At Hospitals
2023-05-08 20:28:33,https://outbreaks.globalincidentmap.com/event_detail?id=12295698,Bangladesh,"Dhaka, Bangladesh",BANGLADESH - Bangladesh Reports 34 More Dengue Cases
2023-05-07 11:54:09,https://outbreaks.globalincidentmap.com/event_detail?id=12295361,Costa Rica,Sarapaqui,COSTA RICA - Unique Dengue Disease Outbreak Heads North
2023-05-17 11:42:16,https://outbreaks.globalincidentmap.com/event_detail?id=12300782,United Kingdom,"London, UK",UNITED KINGDOM - 2 Poultry Workers In UK Test Positive For Bird Flu
2023-05-15 16:05:07,https://outbreaks.globalincidentmap.com/event_detail?id=12299523,Luxembourg,Remerschen,LUXEMBOURG - 3 New Cases Of Avian Flu Detected In Remerschen
2023-05-15 15:05:37,https://outbreaks.globalincidentmap.com/event_detail?id=12299505,United States,Washington D.C.,DISTRICT OF COLUMBIA - The US Is Undergoing Its Worst Bird Flu Outbreak Ever
2023-05-12 20:13:43,https://outbreaks.globalincidentmap.com/event_detail?id=12298454,France,Paris,FRANCE - Mpox Showing Signs Of Return
2023-05-10 15:19:41,https://outbreaks.globalincidentmap.com/event_detail?id=12297729,United States,"Chicago, IL, USA",ILLINOIS - CDC Investigating Possible Mpox Resurgence Amid Dozens Of New Cases Nationwide
2023-05-10 09:11:31,https://outbreaks.globalincidentmap.com/event_detail?id=12296791,United States,"Chicago, IL, USA","ILLINOIS - Mpox - Formerly Monkeypox - Cases On Rise In Chicago - Vaccines Recommended, Health Experts Say"
2023-05-07 11:57:18,https://outbreaks.globalincidentmap.com/event_detail?id=12295364,Brazil,Minas Gerais,BRAZIL - 4th Monkeypox Death Reported In Minas Gerais - 1st In 6 Months
